tweet_id,username,tweet_content,tweet_label
1970444366356643928,Bintang Agara,UMKM makin pede berkembang bareng MBG karena platform ini nggak dibatasi segelintir orang aja https://t.co/glxBrD683v,
1970444354700693938,𝔾𝕚𝕖 | ᮚᮥᮌᮤ,"Udh dikorupsi anggarannya, menunya dikurangi jg, di daerah lain banyak yg keracunan.
Apanya yg bergizi kalo menu makanannya segini 😭.
Dzolim bgt ini para pejabat dan yg bikin ide MBG ini.
Mending dihapus aja nih program",
1970444204238148004,Zhee🫶🏾🎮,@BazukaBt @multibank_io Bullish on $MBG,
1970444172734984639,Hai!,@barengwarga Menanggapi keracunan MBG ala warga tiktok 🥀 https://t.co/VdJDd99vVS,
1970444164006551961,ayi 🐈‍⬛,@Umemiya_Pranowo Program mbg dari hasil kebun sendiri,
1970444152522592417,A.&.S,@grok @txtdrimedia Apakah keracunan itu terkait MBG dari negara mereka? Apa yang membedakan sistem MBG Indonesia dengan negara lain? @grok,
1970444147212636367,Melani Rahayu,"MBG angkat potensi anak lewat gizi yang baik, jangan matiin program yang bermanfaat ini https://t.co/HWPCJVthSU",
1970444064719020428,Gita Paramitha,"Program MBG melindungi generasi penerus dari ketimpangan gizi dan pendidikan, jangan sampai berhenti di tengah jalan https://t.co/VAakv7dn4L",
1970443988600770967,🍀,"i’m so mad at this. we dont need to be the smartest people on earth to see this as a bad program. mbg ini sangat menghabiskan duit anggaran negara, gak berguna dan gak ada hasilnya. kenapa ya masih dipertahankan? program ini jadi ajang cuci uang atau ajang korupsi pemerintahan???",
1970443984767246772,mas Sani 🍉,"@somexthread Makanya Pak kalo rakyat mengkritik itu didengar, dievaluasi, jangan didiemin.
- Aksi Kamis-an
- IKN mangkrak
- MBG banyak keracunan
- pajak mencekik
- harga kebutuhan apa2 naik
- sejahterakan guru
- 19juta lapangan pekerjaan mana
- program TV di sekolah, yakin gabakal dikorupsi?",
1970443899257892894,KOS (Komunitas Orang Sinting),Lebih baik MBG (Makan Bersama Gue),
1970443866294657161,Sarah💛,@BazukaBt @multibank_io $MBG isn’t just another ticker on the screen.,
1970443799806779831,david jones,@xMBGx mbg who cares bout a ps6 game when years away pro time to shine &amp; sick of these ue5 game running bad on base ps5 &amp; pro lazy developers &amp; we paying full price for these games day 1,
1970443755145867342,Tambusai_Lord,@infobdg MBG : Makan Beracun gratis,
1970443716302401881,zharrrifff²⁶,mbg tadi udang dan aku alergi udang terus tadi cuma nyicip sedikit TAPI SEKARANG PERUTKU TETEP SAKIT😭😕,
1970443658840416415,r,"rakyat sendiri dicekokin mbg sampe keracunan, rakyat negara lain ditindas tapi malah mau mengakui kedaulatan yang menindas

totally inhumane",
1970443576321679534,mimatcha,gue udah muak bgt sama drama per mbg an ini anj,
1970443508764037168,Grok,"@Nosaditya @txtdrimedia Program Makan Bergizi Gratis (MBG) Indonesia, diluncurkan 2025, menyediakan makan gratis bergizi untuk siswa guna atasi stunting, dengan anggaran Rp13 T hingga Sept 2025. Namun, ada isu keracunan massal akibat penyimpanan buruk.

Bandingkan dengan luar negeri:
- Finlandia: Gratis",
1970443496927699018,kaye,"kwon? thol, urusin aja mbg lu noh (makan beracun gratis), lu ga pernah jelas dari dulu wok",
1970443475058598277,Reinhad Pardede,"@tempodotco Mungkin biar pemerintah dengar ,  ada yg tergerak mau bantu buat survey perdaerah pake sosmed,  sayang duit MBG kalo yg makan tong sampah  n mitranya, gak perlu takut besuara yg penting jujur apa adanya
Bagus
Tidak bagus
Bagus dengan CATATAN❗
Stop dan alihkan❗",
1970443400693588132,Opang Naufal,"Lewat MBG, kita bantu anak bangsa bukan cuma hari ini, tapi selamanya melalui bekal gizi dan pendidikan https://t.co/5lJWEED0tD",
1970443326730960940,Joshua__web3,@BazukaBt @multibank_io Bullish on mbg,
1970443301737447812,A.&.S,@grok @txtdrimedia Bagaimana perbandingan MBG dengan makanan untuk sekolah di luar negeri? @grok,
1970443266815623594,Nitizen +62,"@abu_waras @hapeproperti Iya lah pak, MBG profit nya lebih gede buat vendor dan banyak anggota dewan yg jd vendor juga.",
1970443206199488930,Joglosemar News,"Nilai Pelaksanaannya Kacau Balau, ICW Desak Program MBG Disetop -  https://t.co/3UJBEIqXOb https://t.co/hLkpfO2txz",
1970443153800126515,MultiBank Group,"Join Team MultiBank Group! Let’s Talk Opportunities at Forex Expo Dubai 2025! 

Meet Pierrine Mezher, Business Development Manager from our MENA Sales Team, and start conversations that could shape your trading journey. 

Register now: https://t.co/FYcK92XFaR https://t.co/vNtOISBpZL",
1970443147680624968,Manfathür Rizqi Fadillah (KakMans),"Apa mungkin ada oknum yang bermain-main di daerah tertentu, dan mencampurkan zat (racun) ke dalam MBG? Sehingga membuat citra MBG menjadi buruk. Tapi, emang perlu ada evaluasi lagi sih menurut gua. Biar anak-anak juga bisa lebih menikmati makannya. 😊",
1970443145558249771,Manfathür Rizqi Fadillah (KakMans),"Walaupun gua bukan anak sekolahan lagi, cuma gua sering disuruh cobain makan MBG yang dikasih oleh seorang guru. Alhamdulillah aman-aman aja sih buat gua. Meskipun rasanya emang hambar. Makanya aneh aja liat berita-berita, terutama tiktok yang pada keracunan MBG.",
1970443118471528648,Grok,"@Nosaditya @txtdrimedia Berdasarkan laporan dari BBC, Kompas, UGM, dan sumber lain per Sept 2025, makanan MBG sering basi karena penyimpanan tidak tepat, distribusi lambat, pengolahan dini (dimakan basi), higienitas rendah, dan kontaminasi bakteri/kimia. Ini picu keracunan massal, dengan ribuan kasus di",
1970443061521264746,Project Multatuli,"Padahal, jika belajar dari negara lain, kunci keberhasilan program makan di sekolah ada pada standar gizi ketat dan pengawasan dilakukan secara sistematis, keterlibatan masyarakat, dan transparansi menjadi keharusan bukan pilihan.

https://t.co/96iBxDbxNN https://t.co/yWspETRiGW",
1970443022296064128,medcom_id,"Hmmm, terus kalo chef Arnold udah join dibayarnya pake apa???🤔🤔

#ChefArnold #MBG #Medcomid #Mudamemberiarti

https://t.co/0cgtFu296l",
1970443007788027904,syamsuri,@infobdg Kayanya itu sengaja ada yg ngasih racun agar program mbg gagal,
1970442991849611347,Semaraknewscoid,"Panggil Kepala SPPG, Prabowo Minta Menu Telur MBG Tak Boleh Dadar https://t.co/CqfkuCGp7x",
1970449416365715787,I_D,"@Urrangawak ya iyalah.. klo lapangan kerja ga bisa korup soalnya gada duitnya.
klo MBG kan bisa aja lah.. atur aja gimana gitu.. duit semua itu..",
1970449392961564797,Ⓖ,MBG MBG TAEKKK TANGGUNG JAWAB WE NDUT @prabs,
1970449364150821101,ayy,@barengwarga can we stop this program??? udah muak bgt pls liat poto mbg yg gak seberapa itu ditambah berita keracunan hampir setiap hari,
1970449308928614433,Riyadiii,"@tirta_cipeng MBG , G- nya apa dok @tirta_cipeng ? https://t.co/hbGE3Lij3Y",
1970449306604957866,Marsya Renita,Kolaborasi jadi nyata karena MBG nggak pilih-pilih siapa yang bisa tumbuh bersama https://t.co/thRkfFVWS9,
1970449260337602966,Utha,"@MasQomaru @ibebrumbrapuk @andriekaryadi Dengan anggaran yang dikeluarkan buat MBG, menu begitu disyukuri?",
1970449150946021854,Asiyah Rachman,MBG cuma proyek korupsi,
1970449111959904427,The Institute for Ecosoc Rights,"Skandal proyek MBG ala Presiden @prabowo : korbannya dipaksa bungkam, vendornya yg memproduksi makanan beracun dilindungi. Siapa saja mereka? Ayo dibuka secara transparan. Demi kepentingan terbaik anak, MBG hrs dihentikan krn sdh mengancam keselamatan anak Indonesia.",
1970449107404857636,bakwan jagung,Hilangkan MBG. Bangun sdm lebih unggul lewat pendidikan,
